Genus,average,overall,sd,ratio,ava,avb,ord,cusum,p,cumulative
JAJZAM01,0.00488744578050486,0.7244038803945835,0.0060491925224304055,0.8079501127435127,0.0026363735,0.009204658038461537,2264,0.9840705514986587,0.035,0.1611763004465176
Nonomuraea,0.004860373923820388,0.7244038803945835,0.003198916245727835,1.5193814249783613,0.012850549566666666,0.005920207019230769,6397,0.8887187361739365,0.001,0.16603667437033798
Occallatibacter,0.0045202986100955685,0.7244038803945835,0.0032201864131292716,1.4037381785307548,0.015405454266666667,0.010477405134615385,1169,0.8903618999009342,0.004,0.17055697298043354
Chersky-822,0.004470961307519045,0.7244038803945835,0.004537946250796152,0.9852389297768004,0.003011328566666667,0.00892170603846154,1121,0.6711912280684115,0.031,0.17502793428795257
JABEUX01,0.004010323495210681,0.7244038803945835,0.011659703300919819,0.3439473022348958,0.0037294408333333334,0.007197611134615384,2012,0.9837629116114474,0.255,0.17903825778316326
Spirillospora,0.003739083715731424,0.7244038803945835,0.0024131869108584086,1.5494380890709263,0.0095203968,0.0045417619999999995,905,0.9192771372052266,0.001,0.18277734149889469
JAKASW01,0.0036886827255156744,0.7244038803945835,0.003381701142491499,1.0907772656687231,0.004375310733333334,0.007165156826923076,7512,0.9845239922764851,0.448,0.18646602422441036
Mycobacterium,0.0036552498835856063,0.7244038803945835,0.0032782353647336777,1.1150053235675947,0.006970620966666666,0.004650471230769232,1147,0.8854670751945093,0.003,0.19012127410799595
Parvarchaeum,0.0035062125219454884,0.7244038803945835,0.004847887637266292,0.723245418271004,0.0011308429333333333,0.006745652576923076,3117,0.9994880058587291,0.314,0.19362748662994145
UBA184,0.0034442283396330657,0.7244038803945835,0.004245034207549464,0.8113546725978729,0.004740823033333333,0.006523569999999999,462,0.9235942759944107,0.429,0.1970717149695745
Sulfobacillus_B,0.003441559801723066,0.7244038803945835,0.005348392428761636,0.643475557854666,9.739626666666668e-4,0.006472856153846153,4100,0.9998506171460645,0.81,0.20051327477129757
Acidocella,0.0033969218127878928,0.7244038803945835,0.003761882985606807,0.9029844431059452,0.0049932477,0.003982960865384615,2207,0.9765638062419837,0.009,0.20391019658408546
Acidulodesulfobacterium_A,0.003326312069497785,0.7244038803945835,0.0029887976703394607,1.1129264796034153,0.0033625929333333335,0.006672176865384616,6230,0.9872580282578661,0.78,0.20723650865358326
JAJYVT01,0.003198575685310686,0.7244038803945835,0.003176374696014372,1.0069894113324134,0.0038259108333333334,0.006295466711538461,901,0.8510398854376658,1,0.21043508433889394
GCA-000496135,0.0031973638434088154,0.7244038803945835,0.003849492200089495,0.8305936672204406,0.0016215525666666666,0.006355865865384616,2827,0.985632935873082,0.499,0.21363244818230276
UBA582,0.0031386369654253917,0.7244038803945835,0.004273657285674648,0.7344147543009921,0.0012263500333333335,0.006126853923076924,1568,0.9863541556487873,0.485,0.21677108514772814
Rhizomicrobium,0.00313801845558747,0.7244038803945835,0.0025820436963760996,1.2153235284095623,0.0049001215333333336,0.007105103326923077,986,0.9100280332952407,0.038,0.21990910360331561
Granulicella,0.0031369911014073534,0.7244038803945835,0.0034587383881253117,0.9069755354083457,0.0034152008,0.006585834846153846,588,0.7467388713032883,0.168,0.22304609470472297
JAJZOM01,0.0030886417550811496,0.7244038803945835,0.003539705883188423,0.8725701674114875,0.0016968463666666668,0.005965138461538463,6275,0.9859758248354383,0.184,0.22613473645980411
SCQM01,0.003016358403254133,0.7244038803945835,0.0029723595790119833,1.0148026586530203,0.0028679070333333333,0.00645563551923077,819,0.986256960739789,0.349,0.22915109486305824
Amycolatopsis,0.002938705565685753,0.7244038803945835,0.001768772818384201,1.6614375431042083,0.0075257663,0.002859599480769231,2957,0.42802286815130836,0.001,0.232089800428744
Acidithrix,0.00293523607060307,0.7244038803945835,0.0029861988535728255,0.9829338950723991,0.0046583213000000005,0.00519197225,921,0.9872318080589155,0.31,0.23502503649934706
AG-12,0.002921803197325911,0.7244038803945835,0.0025205002532821355,1.159215593619246,0.0033136288666666667,0.0066119652884615385,6627,0.98336316471358165,0.924,0.23794683969667296
Leptospirillum,0.0029085350012139776,0.7244038803945835,0.0031444057943346097,0.9249871649690987,0.0013116861666666666,0.006395311596153846,2969,0.9864508957572791,0.014,0.24085537469788695
Trebonia,0.0028601614396378395,0.7244038803945835,0.0029669512083156727,0.9640069009633437,0.004882977966666667,0.002316061076923077,797,0.922609957810048,0.001,0.24371553613752478
JAJZMF01,0.0028585534653532084,0.7244038803945835,0.0026697773089338784,1.0707085777482745,0.0019583585,0.005985752326923078,4420,0.9843068728964021,0.026,0.246574089602878
Pseudonocardia,0.0027796411835262907,0.7244038803945835,0.0017469339630163208,1.5911541262423334,0.006952293466666666,0.0025595043269230774,573,0.9051212338417579,0.001,0.24935373078640427
JAJZGD01,0.0027743118292523445,0.7244038803945835,0.0039381296975453525,0.7044744694369972,7.086062666666666e-4,0.005380793942307693,2546,0.9853293747267945,0.156,0.25212804261565663
Ferrovum,0.0027612644801241573,0.7244038803945835,0.0026475595752852997,1.0429470618528405,0.0017048860333333333,0.005728255634615384,2420,0.9933939082949009,0.002,0.2548893070957808
Ferrimicrobium,0.002760040412697899,0.7244038803945835,0.0043098004487815205,0.6404102569245927,8.292022666666666e-4,0.0053938366538461525,1111,0.986505905037726,0.344,0.2576493475084787
JABFXX01,0.0027469620958167416,0.7244038803945835,0.0017697946236024577,1.5521360835785776,0.006463495633333333,0.002820061461538462,1261,0.7681564248924468,0.001,0.26039630960429544
Nocardia,0.0026999316986596597,0.7244038803945835,0.001539477833889269,1.7537970597723196,0.006563543466666667,0.0017131523461538462,7288,0.8878863803859501,0.001,0.2630962413029551
UBA509,0.0026684694399676323,0.7244038803945835,0.0041308552818044245,0.6459847314723651,5.714193666666667e-4,0.00519460726923077,7038,0.9999830067362712,0.284,0.26576471074292274
JAJYXT01,0.0026486376400075614,0.7244038803945835,0.0032315480339003212,0.8196188366139756,0.0028939123,0.005411155307692307,2529,0.9840387337137938,0.337,0.2684133483829303
Rhodopila,0.002576643185195407,0.7244038803945835,0.0027940440358140404,0.9221913299031832,0.004095341533333333,0.0033226740384615385,885,0.9108689902946289,0.031,0.2709899915681257
Sysuiplasma,0.0025604703720968707,0.7244038803945835,0.0038194101009646603,0.6703837253428686,9.724571333333333e-4,0.004816407096153847,2449,0.9863125332608178,0.53,0.2735504619402226
Paraburkholderia,0.002486100755595426,0.7244038803945835,0.0024364884836981784,1.020362202501341,0.005389410566666667,0.001257617788461538,1310,0.8986046943672579,0.001,0.276036562695818
JAJZDI01,0.002470586846772725,0.7244038803945835,0.0024485029795521447,1.0090193344280185,0.0013781373666666666,0.004947332730769231,1667,0.9858620242766336,0.017,0.2785071495425907
JAJZVS01,0.00245082334628644,0.7244038803945835,0.0020988544105836385,1.1676957362683045,0.004116746266666667,0.004964311961538462,1735,0.9624221590268317,0.027,0.28095797288887714
Palsa-504,0.002360296514530797,0.7244038803945835,0.002451616035476505,0.9627512956253123,0.004783474966666667,0.001364330230769231,413,0.8970118727613,0.001,0.28331826940340793
JAKBCQ01,0.0023108813479236073,0.7244038803945835,0.003028844799128526,0.762957992627587,0.0011165345333333334,0.004472609865384615,4725,0.9627769035772222,0.082,0.28562915075133155
SbD1,0.002268824089925905,0.7244038803945835,0.002462544712544023,0.9213331552392452,0.0014021907666666666,0.004379632096153846,6119,0.9998087804319684,0.168,0.28789797484125745
Bog-756,0.002262800765255167,0.7244038803945835,0.0021962823377068173,1.0302868289774634,0.0018756812666666665,0.004514029769230769,982,0.9364722869055432,0.01,0.2901607756065126
JAMCPL01,0.002170757990074962,0.7244038803945835,0.0030312122175420726,0.716135273377583,0.0012290319,0.003886234403846154,2902,0.998495293399601,0.938,0.2923315335965876
JAJZOT01,0.0021325058192851413,0.7244038803945835,0.002912354756540874,0.732227354684636,7.171895000000001e-4,0.004073547288461538,4642,0.9859899970269626,0.365,0.29446403941587274
Kitasatospora,0.0020997334765972056,0.7244038803945835,0.0013907330870227522,1.5098033520524519,0.005490358233333333,0.0023732065,3421,0.8753303748713805,0.001,0.29656377289246993
GCA-001856825,0.0020730892194624436,0.7244038803945835,0.0019200311369529596,1.0797164585322212,0.002032579233333333,0.004073778461538462,2606,0.9856472833101013,1,0.29863686211193236
Sulfobacillus_C,0.0019717668459029647,0.7244038803945835,0.003276085465732149,0.6018667298297448,6.766850666666667e-4,0.0036565837307692313,4983,0.999851408600537,0.792,0.3006086289578353
UBA2376,0.001959860969466836,0.7244038803945835,0.0015414676478828933,1.2714253018275012,0.0050274150666666665,0.002821838923076923,1448,0.9236831006729505,0.001,0.3025684899273021
JAJYPG01,0.0019025876550750628,0.7244038803945835,0.001729519213193886,1.1000673716492417,0.0025120351,0.0035916799423076923,2478,0.9839746599969376,0.032,0.3044710775823772
JAFKFJ01,0.0018759918708997078,0.7244038803945835,0.0013615771827568824,1.3778079529074168,0.004469549333333333,0.004082533615384615,523,0.8254278837114865,0.015,0.3063470694532769
Pseudomonas,0.0018582458048020133,0.7244038803945835,0.0031033915914274383,0.5987790293481118,0.0014199592333333333,0.003096672557692308,1095,0.9046741228743315,0.374,0.3082053152580789
Acididesulfobacter,0.001856111328347987,0.7244038803945835,0.0031803452606848936,0.5836194426099102,0.0013483683333333333,0.0030750151923076927,1479,0.9871264798725414,0.92,0.31006142658642694
JAKAUH01,0.0018511552308179888,0.7244038803945835,0.0016363629607898415,1.13126199698658,0.0028394789333333332,0.0037654663653846157,1143,0.8522436707485604,0.052,0.3119125818172449
Labilithrix,0.0018367077558348421,0.7244038803945835,0.0012264643652357275,1.497563082871817,0.004072370166666666,0.0018159749423076919,1090,0.8770642819025777,0.001,0.31374928957307974
Sulfotelmatobacter,0.0018366540076657043,0.7244038803945835,0.002990101974791695,0.6142446054180659,0.003490930733333333,6.692154999999999e-4,541,0.9206863054154719,0.001,0.31558594358074543
B-DKE,0.001797775592131332,0.7244038803945835,0.0016436527858180964,1.0937684696202574,0.0012525865333333334,0.0037113639807692307,2471,0.9855467496391316,0.305,0.3173837191728768
JABEVD01,0.0017717924966935683,0.7244038803945835,0.003026762222429289,0.5853755156463932,0.001975445666666667,0.0023023642884615375,7411,0.9954520783264269,0.225,0.31915551166957035
REEB76,0.0017568219528093225,0.7244038803945835,0.0013403596888142983,1.3107093323311094,0.0025334407666666664,0.003907016423076923,6253,0.9785561306838226,0.102,0.32091233362237964
JAJZCK01,0.0017145853149459682,0.7244038803945835,0.0017058128848749486,1.0051426684302849,0.0010183556666666666,0.0033992452115384616,837,0.9623426782158333,0.051,0.3226269189373256
JAJYNJ01,0.001712732106741278,0.7244038803945835,0.0024239669177506576,0.7065822945845414,0.003507129233333333,2.974189038461538e-4,49,0.8506340975300084,0.019,0.32433965104406687
JAJZJT01,0.001694608130004106,0.7244038803945835,0.0017631308041717254,0.9611357966150392,0.0010722873666666668,0.003496961365384615,1659,0.9858905291591106,0.8,0.326034259174071
UBA447,0.001635386821754689,0.7244038803945835,0.0026917726033560355,0.6075501399025048,1.8519203333333334e-4,0.0032137908846153846,3537,0.9999999999999967,0.409,0.32766964599582565
UBA183,0.0016216311251570576,0.7244038803945835,0.002224655075921334,0.7289359787541284,0.0015207038333333333,0.0026388182692307686,1770,0.9850950086385503,0.999,0.3292912771209827
JAJYEA01,0.0016159148650398399,0.7244038803945835,0.001793233645945075,0.9011178597355706,0.0015363692666666667,0.0032220473269230767,518,0.9839424469732376,0.894,0.33090719198602253
Rhodanobacter,0.001613490074971969,0.7244038803945835,0.0023292043292023807,0.6927215679375356,0.0028423267333333333,0.0012090421730769235,763,0.9102395853694284,0.115,0.3325206820609945
JAKABX01,0.0016086102422253148,0.7244038803945835,0.0017453476243872391,0.9216560757001457,0.0018532106333333334,0.0030575051346153842,423,0.9815615488474136,0.958,0.3341292923032198
JAKBAA01,0.0016018907507851408,0.7244038803945835,0.0014820863957154587,1.0808349333858152,0.0014638819,0.0031448179807692304,2235,0.9778605165433212,0.029,0.33573118305400496
Micrarchaeum_A,0.0015734187406753095,0.7244038803945835,0.001949142258800344,0.8072364823918576,6.191351e-4,0.00303643726923077,2145,0.9992147210736143,0.342,0.33730460179468025
Rubrivivax,0.0015612933224122846,0.7244038803945835,0.003573325295482169,0.43693008425128854,0.002394122933333333,0.0016820333846153841,190,0.9120127441279887,0.422,0.33886589511709253
JAKAUF01,0.0015491698490211296,0.7244038803945835,0.0026105459444558192,0.5934275366082712,0.0017175893666666667,0.0022349628653846156,914,0.9778384607127497,0.184,0.3404150649661137
JAJZWV01,0.0015204815214995963,0.7244038803945835,0.0033969923619153334,0.44759639101522736,5.378699333333334e-4,0.0027140282499999997,1692,0.9981604374820596,0.896,0.34193554648761326
CAJBEZ01,0.0015048283937240403,0.7244038803945835,0.002410824164565715,0.6241966609767741,9.467488333333332e-4,0.00263025048076923,6659,0.9900998033763122,0.274,0.34344037488133733
Streptacidiphilus,0.0014975160681111228,0.7244038803945835,0.0014372278500858352,1.0419475715153217,0.0032877816000000002,9.480046923076921e-4,1590,0.9200346467757918,0.001,0.34493789094944843
JAKATP01,0.0014863866347087711,0.7244038803945835,0.0018260468317105535,0.8139915192188116,0.0010950403333333332,0.002613088346153846,6859,0.9860747943316143,0.915,0.3464242775841572
Palsa-465,0.0014773730685952375,0.7244038803945835,0.0012734060136097372,1.1601744084805385,0.0036810071,0.0020385222692307693,862,0.8968879713545385,0.851,0.34790165065275247
Sorangium,0.0014683993199906397,0.7244038803945835,0.0011710896707811717,1.2538743672900372,0.0036749229999999996,0.0020792380576923077,3414,0.918315779623889,0.001,0.3493700499727431
Pseudomonas_E,0.0014618296585332824,0.7244038803945835,0.002333198740911566,0.6265345651447398,0.0019540356666666665,0.002206994269230769,6034,0.9047859935757482,0.371,0.35083187963127643
Gallionella,0.0014180137589596788,0.7244038803945835,0.0017185001506845846,0.825146135945811,0.0019746925333333333,0.0017110095192307694,6803,0.994114314039715,0.069,0.3522498933902361
JAJZIR01,0.0013910328080360432,0.7244038803945835,0.0013829641146236012,1.0058343476357217,3.732263e-4,0.00283736775,4518,0.9981058896360624,0.007,0.35364092619827214
JAJZBW01,0.00137601951715492,0.7244038803945835,0.0016269929179429114,0.8457440115318329,6.243289666666667e-4,0.002617049480769231,1843,0.9777721208145159,0.007,0.3550169457154271
Bog-1198,0.0013692356988250721,0.7244038803945835,0.0010608132515579302,1.2907415106421296,0.0028744522,8.132238076923079e-4,2784,0.5297753070161,0.001,0.35638618141425216
Reyranella,0.0013662498266866635,0.7244038803945835,9.688157256380906e-4,1.4102267237526631,0.0026966526,0.0010419797307692307,499,0.9096028062209228,0.001,0.3577524312409388
JABEVA01,0.0013496005949052944,0.7244038803945835,0.0014060220130995035,0.9598715968394897,0.0013613617333333332,0.0026925846346153846,4952,0.9837793269319024,0.261,0.3591020318358441
JAJZYO01,0.0013433027070856478,0.7244038803945835,0.0022867130189159423,0.58743825568565,0.0011711755333333334,0.0024232578846153847,1210,0.9844004525774993,1,0.36044533454292976
JAJZCL01,0.0013421452926241373,0.7244038803945835,0.001996577594085529,0.6722229562226785,8.076550999999999e-4,0.002536216615384615,7628,0.9858477619366925,0.321,0.3617874798355539
JAKCDU01,0.0013152691989867227,0.7244038803945835,0.0015094940823276043,0.8713311396084499,0.0025007710999999998,9.508781730769231e-4,1466,0.8528425471603325,0.003,0.36310274903454065
Myxococcus,0.0013107656980932433,0.7244038803945835,7.774033285670449e-4,1.6860819216060254,0.0033750401,0.001560126730769231,1333,0.8856114465162442,0.001,0.3644135147326339
Actinacidiphila,0.0012948941648300892,0.7244038803945835,8.472008493532976e-4,1.528438227863598,0.0031269588333333333,0.001307587692307692,73,0.3203872959685479,0.001,0.365708408897464
Actinosynnema,0.0012935894534148147,0.7244038803945835,8.089183087055532e-4,1.5991595683930577,0.0034334704000000002,0.001574655923076923,2897,0.3776214751793149,0.001,0.36700199835087877
JAJYCY01,0.001285117091570885,0.7244038803945835,0.0013052117544763533,0.9846042890461632,0.0027099014,0.0012837727115384615,1629,0.9839101189613053,0.015,0.36828711544244963
JAMCVM01,0.0012712258974941,0.7244038803945835,0.0021421718074399396,0.593428544376799,3.3941936666666663e-4,0.0024351861538461535,6292,0.9985153543821784,0.936,0.36955834133994375
JAJZVV01,0.0012343445982903553,0.7244038803945835,0.0018244268046255685,0.6765657000658257,0.0012529543666666668,0.001937585807692308,2130,0.9843693353478709,0.049,0.3707926859382341
Igneacidithiobacillus,0.0012241139133576614,0.7244038803945835,0.001985475945081008,0.6165342452979038,5.413916000000001e-4,0.0021741077692307687,2069,0.994755127277273,0.406,0.37201679985159175
JAJYTG01,0.001222304073189359,0.7244038803945835,0.0020614995106121355,0.5929198949100947,0.0018057055999999999,0.0013887713461538463,1983,0.9757515607132422,0.06,0.3732391039247811
JAKADD01,0.0012191654153166868,0.7244038803945835,0.002195529837904115,0.5552943960354099,6.292042666666667e-4,0.0020982942884615378,1997,0.998177462069337,0.529,0.3744582693400978
JAKAFX01,0.0012122293802872572,0.7244038803945835,0.0015683731962005919,0.7729215107883133,6.512302e-4,0.0023231807307692305,6120,0.9860465613703563,0.683,0.37567049872038505
FEN-1297,0.0011876264169547286,0.7244038803945835,0.00142406489648652,0.8339693084808586,0.0022360193666666668,4.702311730769233e-4,9082,0.9932190072350207,0.939,0.3768581251373398
GJ-E10,0.001181711795338145,0.7244038803945835,0.0017442966167284088,0.6774718152893948,0.0010629624666666667,0.001936313903846154,257,0.9939469195452842,0.528,0.37803983693267795
CAIXZV01,0.0011709035726047076,0.7244038803945835,0.0014241315899231164,0.8221877675418466,0.0025135650666666667,3.168065769230769e-4,2854,0.6166987414092844,0.003,0.37921074050528264
JAJYKC01,0.00115573085286555,0.7244038803945835,0.0013651972651474947,0.8465669265318122,0.0023865582666666666,1.6780619230769226e-4,441,0.8500216331048287,0.001,0.3803664713581482
Methylobacterium,0.0011417551295807638,0.7244038803945835,6.347550657817852e-4,1.7987333873019835,0.0028462646333333335,0.0011249758076923078,4573,0.8822409260881506,0.001,0.381508226487729
JAKAVM01,0.0011337479334843754,0.7244038803945835,0.0012875221871350186,0.8805657446627618,8.409812333333333e-4,0.0022627661346153846,7558,0.9846461429878386,0.267,0.38264197442121334
JAKAZS01,0.001129313718481296,0.7244038803945835,0.001129541222416544,0.9997985873107302,0.0012172680333333334,0.0020859931346153848,6219,0.9846764827038089,0.1,0.38377128813969463
JAJYUU01,0.0011278529148193242,0.7244038803945835,0.002194405641417532,0.5139673784700804,0.001468943766666667,0.00126465475,400,0.8508376220198147,0.298,0.38489914105451395
JAJYFL01,0.001115242432239771,0.7244038803945835,0.003521454857683017,0.3166993408439028,0.0010884731,0.0017362739999999997,2444,0.98395855935555,0.367,0.3860143834867537
Variovorax,0.0011118990108170928,0.7244038803945835,6.190842800253103e-4,1.796038191717022,0.0026087974333333336,8.958300192307691e-4,2436,0.9287536375154699,0.001,0.3871262824975708
JAKAAX01,0.0011008015090731846,0.7244038803945835,0.0016265813563317013,0.6767577316610428,0.0013157037000000001,0.001484524711538462,5286,0.9844159866430356,0.344,0.38822708400664396
DAHUYF01,0.0010697343250797118,0.7244038803945835,0.0012918399594647116,0.8280703172573856,0.0016726561666666668,0.0012065908076923076,1211,0.6862902734405772,0.005,0.3892968183317237
JAJZCX01,0.0010685724041824536,0.7244038803945835,0.0010718767416541906,0.9969172411870441,8.252142333333333e-4,0.002118461019230769,4707,0.981524195392743,0.021,0.39036539073590615
JAJZZI01,0.0010666777528851347,0.7244038803945835,0.001853884605895097,0.5753744054474841,1.1733159999999999e-4,0.002084588634615384,3792,0.9999999999999967,0.241,0.3914320684887913
JABEVB01,0.0010638941904617587,0.7244038803945835,0.0010835993890669982,0.9818150519425762,9.648691e-4,0.0019116974807692308,1964,0.9852710733697027,0.011,0.3924959626792531
JAJZMK01,0.001058437122592358,0.7244038803945835,0.0014811517044033642,0.7146041282913127,4.7011183333333333e-4,0.001967719730769231,1768,0.9981145657492498,0.462,0.3935543998018454
JAKAQV01,0.0010543854060083662,0.7244038803945835,0.0014055934342411826,0.7501354092320316,9.359748333333333e-4,0.0017492056730769227,4152,0.9982472358353294,0.994,0.3946087852078538
JAKACA01,0.0010465283222989917,0.7244038803945835,0.0010051470683265591,1.041169352502144,9.846013e-4,0.0022323438076923075,3842,0.9844315005285642,0.967,0.3956553135301528
JAKAYB01,0.0010461020936790107,0.7244038803945835,0.0014528204292086093,0.720049135218212,5.603194e-4,0.0019216622692307696,7441,0.9864233350910578,0.965,0.3967014156238318
JAJZHK01,0.001043689114753956,0.7244038803945835,9.906946707297218e-4,1.053492206620229,0.0017286470666666666,0.0013955014615384615,7667,0.9980942832475242,0.024,0.39774510473858576
Thiobacillus,0.0010344363616984148,0.7244038803945835,0.0016416142139367045,0.6301336531545769,0.0020128062333333334,4.2906319230769227e-4,2672,0.9738580693754566,0.813,0.3987795411002842
JAKBAP01,0.001030694126357676,0.7244038803945835,0.0012975858693725644,0.7943167004863105,0.002098580033333333,4.146455384615383e-4,1137,0.8524436715452965,0.003,0.3998102352266419
JAKAZV01,0.001027724693541287,0.7244038803945835,0.0011577266925998368,0.8877092496100161,0.0012307686333333334,0.0016648079615384618,7427,0.9846916374257213,0.162,0.4008379599201832
JAKCCC01,0.0010257141306508131,0.7244038803945835,0.0013008197877419092,0.7885136283415157,8.330704e-4,0.0018006756730769233,673,0.9861170702456784,0.899,0.401863674050834
Burkholderia,0.0010229317891858815,0.7244038803945835,7.505654802916334e-4,1.3628814754289256,0.0024749208666666666,0.0013574516923076923,2768,0.5461805551271192,0.001,0.4028866058400199
UBA2487,0.001010180835958894,0.7244038803945835,0.0011849098273298162,0.8525381532494566,0.0018563401333333332,6.321118653846152e-4,5503,0.9999603720131031,0.002,0.4038967866759788
ER46,0.0010047938468050203,0.7244038803945835,6.802659805236241e-4,1.4770602610931625,0.0019597901,7.186210576923073e-4,94,0.7050768317808034,0.001,0.4049015805227838
JAJZNL01,9.955041190343624e-4,0.7244038803945835,0.001594846882253956,0.6242004358609287,4.2245593333333333e-4,0.0018670358076923075,1116,0.9859616426127087,0.571,0.4058970846418182
Achromobacter,9.941926646000758e-4,0.7244038803945835,0.0016710778280151991,0.5949409703920943,0.0011338432000000001,0.0015171353653846155,2900,0.2992406460186999,0.063,0.4068912773064183
Dactylosporangium,9.921237590512916e-4,0.7244038803945835,9.576470380345259e-4,1.0360014907867576,0.0023414331333333335,0.0014098139615384613,2778,0.6985649769918144,0.001,0.40788340106546955
Roseiarcus,9.825237015591594e-4,0.7244038803945835,0.001270179554965836,0.7735313465863386,0.0014461827,0.0010471546538461543,4535,0.9114946297042673,0.032,0.4088659247670287
JADMIL01,9.767508936837973e-4,0.7244038803945835,0.0011352595860797084,0.8603766976826197,0.0011689525666666667,0.0015989840384615386,331,0.9551340753955609,0.621,0.40984267566071253
JAKBQS01,9.746294062231726e-4,0.7244038803945835,0.0012291043678432322,0.7929590291289917,3.337188333333333e-4,0.0020202102115384614,7731,0.9861029821474996,0.218,0.4108173050669357
JAJYZP01,9.654005947808514e-4,0.7244038803945835,0.001383531889231426,0.6977797926415319,1.1063166666666666e-4,0.0019398203269230768,3387,0.9999999999999967,0.13,0.41178270566171654
Acinetobacter,9.637173539267987e-4,0.7244038803945835,0.002923800653893492,0.329611169846159,2.329868e-4,0.0018134945000000003,4533,0.9335520383362471,0.381,0.41274642301564335
Kribbella,9.582711825257021e-4,0.7244038803945835,5.425920367446284e-4,1.766098869189106,0.0022578169333333335,4.7006561538461553e-4,8,0.8756480677796254,0.001,0.4137046941981691
Pseudolabrys,9.579106780547305e-4,0.7244038803945835,0.001605174017524659,0.5967643804326748,0.0017155787333333332,4.0002699999999974e-4,492,0.9045618289529579,0.042,0.4146626048762238
JAJZYI01,9.536998373646672e-4,0.7244038803945835,0.0010151676707497517,0.939450560576178,0.0010372320333333332,0.0019586631730769233,1945,0.9624618427009538,1,0.41561630471358846
JAKAAL01,9.298815188449924e-4,0.7244038803945835,0.0022985534552832777,0.4045507476485432,6.037553333333333e-5,0.0018392311923076923,3438,0.9999999999999967,0.27,0.41654618623243345
Azospirillum,9.204700525590567e-4,0.7244038803945835,5.625990966285477e-4,1.6361029693703737,0.0022961886,8.78102673076923e-4,124,0.49197166257603187,0.001,0.4174666562849925
